Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,point,SiteNameAddress,SiteplanURL,SiteReference
yes,,2018-12-21,-1.302949,51.749908,,0.1,2018-12-21,8,8,8,"Demolition of existing guest house and garage. Erection of 9no. Apartments (8no. 2-bed and 1no. 1-bed), off-street car parking provision and covered bicycle and bin storage. (As amended by plans and letter (dated 18 January 2018) from agent received on 31 January 2018). http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P17/V3275/FUL",Vale of White Horse District Council,http://opendatacommunities.org/id/district-council/vale-of-white-horse,not owned by a public authority,2018-02-26,full planning permission,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P17/V3275/FUL,permissioned,,"Gables, 6 Cumnor Hill, Botley, Oxford OX2 9HA",http://www.whitehorsedc.gov.uk/sites/default/files/P17_V3275_FUL-V3.pdf,P17/V3275/FUL
yes,,2018-12-21,-1.285631,51.745776,,0.48,2018-12-21,20,20,20,Change of use from Office (B1(a) to 20 residential flats (C3). http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P17/V3417/PDO,Vale of White Horse District Council,http://opendatacommunities.org/id/district-council/vale-of-white-horse,not owned by a public authority,2018-02-14,other,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P17/V3417/PDO,permissioned,,"St Lawrence House, North Hinksey Lane, Botley OX2 0NB",http://www.whitehorsedc.gov.uk/sites/default/files/P17_V3417_PDO-V2.pdf,P17/V3417/PDO
yes,,2017-12-08,-1.281145,51.671552,,0.13,2018-12-21,32,32,32,Superseeded existing application. Change of use from B1(a) Offices to 32 Flats. http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P17/V2427/PDO,Vale of White Horse District Council,http://opendatacommunities.org/id/district-council/vale-of-white-horse,not owned by a public authority,2018-02-27,other,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P17/V2427/PDO,permissioned,,"55-59 Stert Street, Abingdon, OX14 3JF",http://www.whitehorsedc.gov.uk/sites/default/files/P17_V2427_PDO-V2.pdf,P17/V2427/PDO
yes,,2018-12-21,-1.435391,51.590591,,0.97,2018-12-21,29,29,29,"Outline planning application with the means of access and layout only to be considered for the demolition of Aberclare, hall (St John Ambulance) and Cedarholme and construction of 31 homes.. http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P17/V0569/FUL",Vale of White Horse District Council,http://opendatacommunities.org/id/district-council/vale-of-white-horse,not owned by a public authority,2018-05-17,full planning permission,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P17/V0569/FUL,permissioned,,"Land to the south of Challow Road and north of Naldertown, Wantage, OX12 9DJ",http://www.whitehorsedc.gov.uk/sites/default/files/P17_V0569_FUL-V2.pdf,P17/V0569/FUL
yes,,2018-12-21,-1.298753,51.753345,,0.06,2018-12-21,8,8,8,"Demolition of an existing two storey house and the creation of a two storey apartment block to accommodate seven 2 bedroom and one 1 bedroom apartments. (As amended by plans received 30 June 2017_changes include bin stores, cycle stores, design amendments) (As clarified by plans received 20 July 2017_bin and cycle store details) (Additional Information received on ownership of access on 24 July 2017.). http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P17/V3039/FUL",Vale of White Horse District Council,http://opendatacommunities.org/id/district-council/vale-of-white-horse,not owned by a public authority,2018-06-22,full planning permission,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P17/V3039/FUL,permissioned,,"8 Elms Road, Botley, Oxford, OX2 9JZ",http://www.whitehorsedc.gov.uk/sites/default/files/P17_V3039_FUL-V2.pdf,P17/V3039/FUL
yes,,2017-12-08,-1.589744,51.657768,,0.36,2018-12-21,14,14,14,Superseeded existing application. Erection of 14 dwellings with associated access (current permission ref. P13/V2301/O) (Amended planning statement received 23 November 2017). http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P17/V1310/O,Vale of White Horse District Council,http://opendatacommunities.org/id/district-council/vale-of-white-horse,not owned by a public authority,2018-02-12,outline planning permission,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P17/V1310/O,permissioned,,"5 Lechlade Road, Faringdon, SN7 8AL",http://www.whitehorsedc.gov.uk/sites/default/files/P17_V1310_O.pdf,P17/V1310/O
yes,,2018-12-21,-1.445902,51.542897,,0.38,2018-12-21,5,5,5,"Change of use of agricultural land to residential garden, conversion of agricultural buildings to create 5 No. dwellings, erection of connecting link and one detached garage and creation of new access road. (additional plans received 26/02/18 to extend red line to include drainage and access and further amended plans received 14/03/2018 to extend red line to include drainage area, the omission of the garages except the garage between the barns and farmhouse, alteration to the north-west elevation of house 5, and additional landscaping between houses 4 and 5. Additional tree and bat mitigation received 29th March 2018).. http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P17/V3395/FUL",Vale of White Horse District Council,http://opendatacommunities.org/id/district-council/vale-of-white-horse,not owned by a public authority,2018-04-20,full planning permission,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P17/V3395/FUL,permissioned,,"Letcombe Bowers Farm, Letcombe Regis, Wantage, OX12 9NG",http://www.whitehorsedc.gov.uk/sites/default/files/P17_V3395_FUL-V2.pdf,P17/V3395/FUL
yes,,2018-12-21,-1.280801,51.670426,,0.02,2018-12-21,6,6,6,Prior approval for the change of Use Class (B1a) (offices) to Use Class C3 (residential) in the form of 6 no. residential units.(amended Plans received 22 March 2018 reducing number of flats from seven to six).. http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P18/V0585/PDO,Vale of White Horse District Council,http://opendatacommunities.org/id/district-council/vale-of-white-horse,not owned by a public authority,2018-05-15,other,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P18/V0585/PDO,permissioned,,"1 Stert Street, Abingdon, Oxon OX14 3JG",http://www.whitehorsedc.gov.uk/sites/default/files/P18_V0585_PDO.pdf,P18/V0585/PDO
yes,,2018-12-21,-1.305719,51.749718,,0.11,2018-12-21,5,5,5,"Demolition of existing dwelling. Erection of a replacement two and half storey building containing 4no. x 1 bedroom and 2no. x 2 bedroom flats with provision of revised access and parking for no.6 cars, covered cycle storage and enclosed bin store.. http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P18/V0695/FUL",Vale of White Horse District Council,http://opendatacommunities.org/id/district-council/vale-of-white-horse,not owned by a public authority,2018-05-11,full planning permission,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P18/V0695/FUL,permissioned,,"31 Eynsham Road, Botley, Oxford, OX2 9BS",http://www.whitehorsedc.gov.uk/sites/default/files/P18_V0695_FUL-V2.pdf,P18/V0695/FUL
yes,,2018-12-21,-1.300597,51.751189,,0.08,2018-12-21,5,5,5,Erection of apartment block comprising 6 apartments (4 x 2 bedroom and 2 x 1 bedroom). http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P18/V0787/FUL,Vale of White Horse District Council,http://opendatacommunities.org/id/district-council/vale-of-white-horse,not owned by a public authority,2018-07-19,full planning permission,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P18/V0787/FUL,permissioned,,"96 West Way, Oxford, OX2 9JU",http://www.whitehorsedc.gov.uk/sites/default/files/P18_V0787_FUL-V2.pdf,P18/V0787/FUL
