Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,point,SiteNameAddress,SiteplanURL,SiteReference
yes,,2017-12-31,0.012107,50.877101,,9,2018-11-26,,415,415,,,http://opendatacommunities.org/id/national-park-authority/south-downs,mixed ownership,2016-01-01,full planning permission,,permissioned,,"North Street Quarter and adjacent Eastgate Area, Lewes",https://www.southdowns.gov.uk/wp-content/uploads/2017/09/Chapter-8-Chapter_9.pdf,SDB001
yes,,2017-12-31,-0.727171,50.994482,,1,2017-12-31,,16,16,,,http://opendatacommunities.org/id/national-park-authority/south-downs,not owned by a public authority,,,,Not Permissioned,,"Cowdray Works Yard, Easebourne",https://planningpublicaccess.southdowns.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=OPZMK7TU0LJ00,SDB003
yes,,2017-12-31,-0.721249,50.99841,,0.7,2017-12-31,,14,14,,,http://opendatacommunities.org/id/national-park-authority/south-downs,not owned by a public authority,,,,Not Permissioned,,"School Buildings at Former Easebourne School,Easebourne Street, Easebourne",https://planningpublicaccess.southdowns.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=OPZOB6TU0LJ00,SDB004
,,2017-12-31,-0.752045,50.982511,,2.7,2017-12-31,,65,65,,,http://opendatacommunities.org/id/national-park-authority/south-downs,owned by a public authority,,,,Not Permissioned,,"West Sussex County Council Depot and former Brickworks site, Midhurst",https://planningpublicaccess.southdowns.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=P6ALRUTU0EF00,SDB005
,,2017-12-31,-0.743181,50.97837,,5,2017-12-31,,50,50,,,http://opendatacommunities.org/id/national-park-authority/south-downs,not owned by a public authority,,,,Not Permissioned,,"Holmbush Caravan Park,11 The Fairway, Midhurst GU29 9JD",https://planningpublicaccess.southdowns.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=P6AOB3TU0EF00,SDB006
yes,,2017-12-31,-0.743852,50.97674,,0.1,2017-12-31,,8,8,,,http://opendatacommunities.org/id/national-park-authority/south-downs,not owned by a public authority,,,,Not Permissioned,,"Land at the Fairway, Midhurst GU29 9JF",https://www.southdowns.gov.uk/wp-content/uploads/2017/09/Chapter-8-Chapter_9.pdf,SDB007
yes,,2017-12-31,-0.740139,50.988687,,0.4,2017-12-31,,20,20,,,http://opendatacommunities.org/id/national-park-authority/south-downs,owned by a public authority,2018-06-18,full planning permission,,permissioned,,"Land at Lamberts Lane, Midhurst GU29 9EA",https://planningpublicaccess.southdowns.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=OUO6IGTULBF00,SDB008
yes,,2017-12-31,-0.775839,50.992133,,0.75,2018-11-26,,16,16,,,http://opendatacommunities.org/id/national-park-authority/south-downs,not owned by a public authority,,,,Not Permissioned,,"Stedham Sawmill, Stedham, Midhurst GU29 0NY",https://www.southdowns.gov.uk/brownfield,SDB009
yes,,2017-12-31,0.015492,50.875172,,0.2,2017-12-31,,9,9,,,http://opendatacommunities.org/id/national-park-authority/south-downs,owned by a public authority,2016-09-30,full planning permission,,permissioned,,"Magistrates court car park, Court Road, Lewes BN7",https://planningpublicaccess.southdowns.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=O54CV0TUGMI00,SDB010
yes,,2017-12-31,-0.722563,51.034638,,7.7,2017-12-31,,200,200,,,http://opendatacommunities.org/id/national-park-authority/south-downs,not owned by a public authority,,,,Not Permissioned,,"Syngenta, Fernhurst",https://planningpublicaccess.southdowns.gov.uk/online-applications/applicationDetails.do?keyVal=ONXJC0TU0EF00&activeTab=summary,SDB012
yes,,2017-12-31,-0.710916,51.037523,,0.43,2018-11-26,,10,10,,,http://opendatacommunities.org/id/national-park-authority/south-downs,not owned by a public authority,,,,Not Permissioned,,"Former ICI Plant Protection, Bridgelands, Verdley Place, Fernhurst",https://www.southdowns.gov.uk/brownfield,SDB013
yes,,2017-12-31,-0.705871,51.035327,,1.3,2018-11-26,,10,10,,,http://opendatacommunities.org/id/national-park-authority/south-downs,not owned by a public authority,2016-12-12,full planning permission,,pending decision,,"Hurstfold Industrial Estate, Surney Hatch Lane, Fernhurst , Haslemere GU27 3JG",https://planningpublicaccess.southdowns.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=OAQ1T9TUJGE00,SDB014
yes,,2017-12-31,-0.788103,50.87567,,1.65,2018-11-26,,52,52,,,http://opendatacommunities.org/id/national-park-authority/south-downs,not owned by a public authority,,planning application in progress,,Not Permissioned,,"Eastmead Industrial Estate, Lavant, Chichester PO18 0DB",https://planningpublicaccess.southdowns.gov.uk/online-applications/applicationDetails.do?keyVal=PA951YTULCP00&activeTab=summary,SDB015
,,2017-12-31,-0.002848,50.873428,,0.28,2018-11-26,,6,6,,,http://opendatacommunities.org/id/national-park-authority/south-downs,,,,,Not Permissioned,,"Land at Astely House and Police Garage, Spital Road, Lewes BN7 1PW",https://www.southdowns.gov.uk/wp-content/uploads/2016/05/Lewes-NDP-Submission-Plan.pdf,SDB016
yes,,2017-12-31,0.009718,50.871135,,0.15,2018-11-26,,11,11,,,http://opendatacommunities.org/id/national-park-authority/south-downs,not owned by a public authority,,,,Not Permissioned,,"Auction Rooms, Garden Street Lewes BN7 1TJ",https://www.southdowns.gov.uk/wp-content/uploads/2016/05/Lewes-NDP-Submission-Plan.pdf,SDB017
,,2017-12-31,0.011866,50.874812,,0.12,2018-11-26,,6,6,,,http://opendatacommunities.org/id/national-park-authority/south-downs,owned by a public authority,,,,Not Permissioned,,"Land at Little East Street Car Park, Corner of North Street and East Street, Lewes BN7",https://www.southdowns.gov.uk/wp-content/uploads/2016/05/Lewes-NDP-Submission-Plan.pdf,SDB018
