Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,point,SiteNameAddress,SiteplanURL,SiteReference
yes,,2017-12-19,-0.735945,51.798552,,5.5,2017-12-19,165,165,165,,Aylesbury Vale,http://opendatacommunities.org/id/district-council/aylesbury-vale,not owned by a public authority,,,,not permissioned,,"Land r/0 1-87 Weston Road, Aston Clinton",https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,AST033
yes,,2017-12-19,-0.806423,51.824499,,0.15,2017-12-19,6,6,6,,Aylesbury Vale,http://opendatacommunities.org/id/district-council/aylesbury-vale,not owned by a public authority,2016-06-15,full planning permission,,permissioned,,"Elmhurst community centre, 36 Fairfax Crescent",https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,AYL025
yes,,2017-12-19,-0.827384,51.821383,,4.43,2017-12-19,98,98,98,,Aylesbury Vale,http://opendatacommunities.org/id/district-council/aylesbury-vale,not owned by a public authority,2013-08-20,full planning permission,,permissioned,,Griffin Lane,https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,AYL028
yes,,2017-12-19,-0.810238,51.852627,,0.78,2017-12-19,47,47,47,,Aylesbury Vale,http://opendatacommunities.org/id/district-council/aylesbury-vale,not owned by a public authority,2015-02-06,full planning permission,,permissioned,,Civic Quarter,https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,AYL029
yes,,2017-12-19,-0.81638,51.819924,,0.04,2017-12-19,9,9,9,,Aylesbury Vale,http://opendatacommunities.org/id/district-council/aylesbury-vale,not owned by a public authority,,,,not permissioned,,Ardenham Lane,https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,AYL032
yes,,2017-12-19,-0.809452,51.81856,,0.92,2017-12-19,23,23,23,,Aylesbury Vale,http://opendatacommunities.org/id/district-council/aylesbury-vale,not owned by a public authority,,,,not permissioned,,"PO Sorting Office, Cambridge Street",https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,AYL052
yes,,2017-12-19,-0.815393,51.819959,,0.49,2017-12-19,14,14,14,,Aylesbury Vale,http://opendatacommunities.org/id/district-council/aylesbury-vale,not owned by a public authority,,,,not permissioned,,Land At Junction Of Buckingham Street And New Street,https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,AYL059
yes,,2017-12-19,-0.803464,51.821142,,1.11,2017-12-19,50,44,44,,Aylesbury Vale,http://opendatacommunities.org/id/district-council/aylesbury-vale,not owned by a public authority,2016-04-01,full planning permission,,permissioned,,"Land North of Manor Hospital, Bierton Road",https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,AYL068
yes,,2017-12-19,-0.824955,51.821611,,4.07,2017-12-19,25,25,25,,Aylesbury Vale,http://opendatacommunities.org/id/district-council/aylesbury-vale,not owned by a public authority,,,,not permissioned,,"Land east of Gatehouse Road, Gatehouse Quarter",https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,AYL076
yes,,2017-12-19,-0.822393,51.820821,,4.34,2017-12-19,370,370,370,,Aylesbury Vale,http://opendatacommunities.org/id/district-council/aylesbury-vale,not owned by a public authority,2006-12-22,full planning permission,,permissioned,,"Gatehouse Quarter, Gatehouse Road",https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,AYL082
yes,,2017-12-19,-0.813969,51.817283,,0.01,2017-12-19,6,6,6,,Aylesbury Vale,http://opendatacommunities.org/id/district-council/aylesbury-vale,not owned by a public authority,2013-04-04,full planning permission,,permissioned,,"Kingsbury House, 2 George Street, Aylesbury",https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,AYL108
yes,,2017-12-19,-0.808652,51.813696,,0.42,2017-12-19,48,48,48,,Aylesbury Vale,http://opendatacommunities.org/id/district-council/aylesbury-vale,not owned by a public authority,2015-04-01,full planning permission,,permissioned,,"Kingfisher House, 61 Walton Street, Aylesbury",https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,AYL110
yes,,2017-12-19,-0.847259,51.823765,,6.6,2017-12-19,200,200,200,,Aylesbury Vale,http://opendatacommunities.org/id/district-council/aylesbury-vale,not owned by a public authority,,,,not permissioned,,"Rabans Lane, Aylesbury",https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,AYL115
yes,,2017-12-19,-0.815533,51.815735,,0.04,2017-12-19,15,15,15,,Aylesbury Vale,http://opendatacommunities.org/id/district-council/aylesbury-vale,not owned by a public authority,2016-02-29,full planning permission,,permissioned,,"Western House, 14 Rickfords Hill",https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,AYL116
yes,,2017-12-19,-0.818208,51.821597,,0.05,2017-12-19,8,8,8,,Aylesbury Vale,http://opendatacommunities.org/id/district-council/aylesbury-vale,not owned by a public authority,2016-09-07,full planning permission,,permissioned,,37 Bicester Road,https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,AYL123
yes,,2017-12-19,-0.985464,52.003363,,0.21,2017-12-19,13,13,13,,Aylesbury Vale,http://opendatacommunities.org/id/district-council/aylesbury-vale,not owned by a public authority,2015-05-11,full planning permission,,permissioned,,Police Station and Land adjacent 38 Moreton Road,https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,BUC005
yes,,2017-12-19,-0.970841,51.989857,,5.1,2017-12-19,117,117,117,,Aylesbury Vale,http://opendatacommunities.org/id/district-council/aylesbury-vale,not owned by a public authority,2009-10-28,full planning permission,,permissioned,,"Land to south of the A421 and east of A413, London Road",https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,BUC060
yes,,2017-12-19,-1.001816,52.035142,,0.22,2017-12-19,28,28,28,,Aylesbury Vale,http://opendatacommunities.org/id/district-council/aylesbury-vale,not owned by a public authority,,,,not permissioned,,Land between Bridge Street and Well Street (Neighbourhood Plan Site 'K'),https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,BUC064
yes,,2017-12-19,-0.806232,51.794942,,3.73,2017-12-19,100,100,100,,Aylesbury Vale,http://opendatacommunities.org/id/district-council/aylesbury-vale,not owned by a public authority,,,,not permissioned,,"Bucks Sport and Social Club, Lower Road",https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,SMD011
