Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
yes,,2017-11-01,-1.873512,53.941284,,0.24,2018-11-01,7,7,10,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,owned by a public authority,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9301120OUT&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=JWFJFXDH0BY00&activeTab=summary|https://planning.bradford.gov,not permissioned,"Church Street/Main Street, Addingham",AD/022,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=408368.23,449443.6,408439.8,449500.52,27700",,,
yes,,2017-11-01,-1.770028,53.856189,,0.17,2018-11-01,5,0,0,Current golf clubhouse with planning permission for demolition and redevelopment of land for 5 homes,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,not owned by a public authority,2015-04-17,full planning permission,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=J6M85DDHU8000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=J6MBC9DHU8000&activeTab=summary|https://planning.bradford.,permissioned,"Baildon Golf Clubhouse, Moorgate, Baildon",BA/026,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415192.55,439992.7506,415252.6502,440044.8209,27700",,,
yes,,2018-11-01,-1.776479,53.841177,,0.1,2018-11-01,5,0,0,Site with permission for 5 townhouses,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,owned by a public authority,2017-05-12,full planning permission,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=NK0MSRDHLT000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=P0YF9ADHIFB00&activeTab=summary|https://planning.bradford.,permissioned,"Knoll Terrace, Denby Drive, Baildon",BA/031,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=414783.66,438334.89,414827.9683,438361.2846,27700",,,
yes,,2017-11-01,-1.835429,53.846341,,0.39,2018-11-01,20,20,38,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,not owned by a public authority,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7902222FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=KLZZDFDHFH000&activeTab=summary|https://planning.bradford.gov,not permissioned,"Victoria Street, Bingley",BI/001,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=410869.12,438866.7167,410975.5,438956.85,27700",,,
yes,,2017-11-01,-1.849875,53.863434,,0.74,2018-11-01,10,0,0,Permission for 10 units,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,not owned by a public authority,2018-08-14,outline planning permission,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=JAZL9KDHU8000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8075881FUL&activeTab=summary|https://planning.bradford.gov,permissioned,"Keighley Road, Crossflatts",BI/006,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=409886.75,440772.3728,410033.0978,440851.75,27700",,,
,,2017-11-01,-1.820422,53.850628,,4.49,2018-11-01,138,138,169,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,owned by a public authority,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7504010FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=K0RI78DH0A600&activeTab=summary|https://planning.bradford.gov,not permissioned,"Gilstead Water works. Warren Lane, Eldwick",BI/021,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=411748.3,439245.511,412063.39,439513.06,27700",,,
yes,,2017-11-01,-1.850887,53.866342,,0.3,2018-11-01,12,12,15,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,owned by a public authority,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=L3UR9SDH0DX00&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=LJP2W3DHC1000&activeTab=summary|https://planning.bradford.,not permissioned,"Marley Court, Crossflatts",BI/038,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=409833.925,441101.1428,409964.5261,441165.097,27700",,,
yes,,2018-11-01,-1.842006,53.854321,,1.76,2018-11-01,104,0,0,104 units under consideration for elderly people,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,not owned by a public authority,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7801452DUMMY&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7801565FUL&activeTab=summary|https://planning.bradford.gov.,pending decision,"Former Bingley Auction Mart, Keighley Road",BI/039,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=410393.85,439672.97,410567.2,439900.0,27700",,,
yes,,2017-11-01,-1.745905,53.917176,,2.89,2018-11-01,89,0,0,Land and buildings with permission for conversion and new build.,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,not owned by a public authority,2017-02-27,full planning permission,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=NLTNXBDHLT000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=OURT6XDH0CY00&activeTab=summary|https://planning.bradford.,permissioned,"Greenholme Mills, Great Pasture Lane, Burley in Wharfedale",BU/011,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416699.1,446668.45,416875.218,446970.63,27700",,,
,,2017-11-01,-1.758903,53.7937,,0.51,2018-11-01,100,100,100,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,not owned by a public authority,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9702664OUT&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9002284ADV&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,"Fulton Street/Tetley Street/ Sunbridge Road, City Centre",CC/001,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415950.1563,433006.6873,416006.0,433130.4061,27700",,,
