Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
yes,,2017-01-12,-1.978312,50.719257,,0.29341,2017-01-12,,18,18,,,http://opendatacommunities.org/id/unitary-authority/bournemouth-christchurch-and-poole,not owned by a public authority,2017-10-02,full planning permission,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_247004,permissioned,"Voyager House, 253-257 High Street North, Poole, BH15 1DX",P/BLR/0043,https://www.bournemouth.gov.uk/planningbuilding/PlanningPolicy/PlanningPolicyFiles/brownfieldlandregister/blr-2019-site-plans-reduced.pdf,,,
,,2017-01-12,-1.990465,50.716069,,0.618946,2018-01-12,,203,203,Part of existing site allocation in the Core Strategy Development Plan Document adopted in 2009.,,http://opendatacommunities.org/id/unitary-authority/bournemouth-christchurch-and-poole,not owned by a public authority,,,,Not permissioned,"Land between Wilkins Way & RNLI, Poole",P/BLR/0054,https://www.bournemouth.gov.uk/planningbuilding/PlanningPolicy/PlanningPolicyFiles/brownfieldlandregister/blr-2019-site-plans-reduced.pdf,,,
,,2017-01-12,-1.961107,50.722683,,2.455429,2018-01-12,,283,283,Proposed site allocation in the Poole Local Plan Submission Version - November 2017.,,http://opendatacommunities.org/id/unitary-authority/bournemouth-christchurch-and-poole,owned by a public authority,,,,Not permissioned,Civic Centre and surrounds,P/BLR/0072,https://www.bournemouth.gov.uk/planningbuilding/PlanningPolicy/PlanningPolicyFiles/brownfieldlandregister/blr-2019-site-plans-reduced.pdf,,,
,,2017-01-12,-1.977056,50.732624,,0.776976,2018-01-12,,60,60,Proposed site allocation in the Poole Local Plan Submission Version - November 2017.,,http://opendatacommunities.org/id/unitary-authority/bournemouth-christchurch-and-poole,owned by a public authority,,,,Not permissioned,Oakdale Public Buildings,P/BLR/0076,https://www.bournemouth.gov.uk/planningbuilding/PlanningPolicy/PlanningPolicyFiles/brownfieldlandregister/blr-2019-site-plans-reduced.pdf,,,
,,2017-01-12,-1.97493,50.72267,,0.753705,2018-01-12,,50,50,Existing site allocation in the Site Specific Allocations and Development Management Policies Development Plan Document adopted in 2012.,,http://opendatacommunities.org/id/unitary-authority/bournemouth-christchurch-and-poole,owned by a public authority,,,,Not permissioned,"St Mary's Maternity Hospital site, St. Mary's Road, Poole, BH15 2BH",P/BLR/0061,https://www.bournemouth.gov.uk/planningbuilding/PlanningPolicy/PlanningPolicyFiles/brownfieldlandregister/blr-2019-site-plans-reduced.pdf,,,
,,2017-01-12,-1.914258,50.70609,,0.364005,2018-01-12,,60,60,Proposed site allocation in the Poole Local Plan Submission Version - November 2017.,,http://opendatacommunities.org/id/unitary-authority/bournemouth-christchurch-and-poole,owned by a public authority,,,,Not permissioned,Beach Road Car Park,P/BLR/0075,https://www.bournemouth.gov.uk/planningbuilding/PlanningPolicy/PlanningPolicyFiles/brownfieldlandregister/blr-2019-site-plans-reduced.pdf,,,
yes,,2017-01-12,-1.994366,50.751057,,4.675594,2018-01-12,,40,40,Proposed site allocation in the Poole Local Plan Submission Version - November 2017.,,http://opendatacommunities.org/id/unitary-authority/bournemouth-christchurch-and-poole,owned by a public authority,,,,Not permissioned,Hillbourne,P/BLR/0071,https://www.bournemouth.gov.uk/planningbuilding/PlanningPolicy/PlanningPolicyFiles/brownfieldlandregister/blr-2019-site-plans-reduced.pdf,,,
,,2017-01-12,-1.99883,50.746514,,1.992512,2018-01-12,,100,100,Proposed site allocation in the Poole Local Plan Submission Version - November 2017.,,http://opendatacommunities.org/id/unitary-authority/bournemouth-christchurch-and-poole,not owned by a public authority,,,,Not permissioned,Sopers Lane,P/BLR/0074,https://www.bournemouth.gov.uk/planningbuilding/PlanningPolicy/PlanningPolicyFiles/brownfieldlandregister/blr-2019-site-plans-reduced.pdf,,,
,,2017-01-12,-2.002992,50.741433,,1.237984,2018-01-12,,50,50,Proposed site allocation in the Poole Local Plan Submission Version - November 2017.,,http://opendatacommunities.org/id/unitary-authority/bournemouth-christchurch-and-poole,mixed ownership,,,,Not permissioned,Creekmoor Local Centre,P/BLR/0069,https://www.bournemouth.gov.uk/planningbuilding/PlanningPolicy/PlanningPolicyFiles/brownfieldlandregister/blr-2019-site-plans-reduced.pdf,,,
yes,,2017-01-12,-1.922983,50.729296,,0.835746,2017-01-12,,32,32,,,http://opendatacommunities.org/id/unitary-authority/bournemouth-christchurch-and-poole,not owned by a public authority,2016-11-25,full planning permission,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_POOLE_DCAPR_246905,permissioned,Parrs,P/BLR/0073,https://www.bournemouth.gov.uk/planningbuilding/PlanningPolicy/PlanningPolicyFiles/brownfieldlandregister/blr-2019-site-plans-reduced.pdf,,,
