Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,point,SiteNameAddress,SiteplanURL,SiteReference
yes,,2018-12-10,-0.758112,51.295747,,0.25,2019-12-09,,40,40,,,http://opendatacommunities.org/id/district-council/rushmoor,owned by a public authority,,,,not permissioned,,"Union Street West Car Park, Union Street, Farnborough",http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,SHELAA ID: 8
,,2017-12-11,-0.754301,51.295581,,0.08,2019-12-09,,8,8,,,http://opendatacommunities.org/id/district-council/rushmoor,owned by a public authority,,,,not permissioned,,"Union Street East Car Park, Union Street, Farnborough",http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,SHELAA ID: 9
yes,,2017-12-11,-0.757203,51.289569,,4.27,2019-12-09,,700,700,Decision pending on an outline application for the erection of up to 174 units across 8 storeys at the former Police Station site (ref: 18/00367/OUTPP). Note that areas of non-brownfield land have been excluded,,http://opendatacommunities.org/id/district-council/rushmoor,mixed ownership,,,,pending decision,,"Farnborough Civic Quarter, Farnborough",http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,SHELAA ID: 15
,,2017-12-11,-0.766873,51.248701,,0.06,2019-12-09,,23,23,,,http://opendatacommunities.org/id/district-council/rushmoor,not owned by a public authority,,,,not permissioned,,"Willow House, 23 Grosvenor Road, Aldershot",http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,SHELAA ID: 102
,,2017-12-11,-0.758301,51.247244,,0.07,2019-12-09,,50,50,,,http://opendatacommunities.org/id/district-council/rushmoor,not owned by a public authority,,,,not permissioned,,"Progress House and Penmark House, Albert Road, Aldershot",http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,SHELAA ID: 110
,,2017-12-11,-0.744322,51.294935,,0.14,2019-12-09,,5,5,,,http://opendatacommunities.org/id/district-council/rushmoor,,,,,not permissioned,,"Former Laundry, 53 Rectory Road, Farnborough",http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,SHELAA ID: 284
yes,2019-12-09,2018-12-10,-0.763784,51.245809,,0.06,2019-12-09,,9,9,Planning permission granted in July 2018 for the conversion of the existing building to provide 9 dwellings (ref. 18/00400/FULPP),,http://opendatacommunities.org/id/district-council/rushmoor,not owned by a public authority,2018-07-13,full planning permission,,permissioned,,"69 Gordon Road, Aldershot",http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,SHELAA ID: 304
,,2017-12-11,-0.778693,51.295236,,0.1,2019-12-09,,5,5,,,http://opendatacommunities.org/id/district-council/rushmoor,owned by a public authority,,,,not permissioned,,"Car Park next to Scout Hall, Fleet Road, Farnborough",http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,SHELAA ID: 320
,,2018-12-10,-0.766668,51.249382,,0.01,2012-12-09,,6,6,Active ground floor and town centre uses will be required as part of any development proposals,,http://opendatacommunities.org/id/district-council/rushmoor,not owned by a public authority,,,,not permissioned,,"16 Union Street, Aldershot",http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,SHELAA ID: 409
yes,,2017-12-11,-0.78435,51.292831,,4.26,2019-12-09,,159,159,"Planning permission granted in March 2019 for the comprehensive redevelopment of the site, including the demolition of the existing buildings and the erection of 159 residential units (ref. 16/00837/FULPP)",,http://opendatacommunities.org/id/district-council/rushmoor,not owned by a public authority,2019-03-19,full planning permission,,permissioned,,"The Crescent, Southwood Business Park, Summit Avenue, Farnborough",http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,SHELAA ID: 516
yes,,2017-12-11,-0.755828,51.287909,,2.04,2019-12-09,,205,205,Planning permission granted in March 2019 for the demolition of the existing building and the erection of 205 dwellings (ref. 18/00140/FULPP),,http://opendatacommunities.org/id/district-council/rushmoor,not owned by a public authority,2019-03-08,full planning permission,,permissioned,,"Meudon House, Meudon Avenue, Farnborough",http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,SHELAA ID: 518
,,2017-12-11,-0.773331,51.244003,,0.26,2019-12-09,,24,24,,,http://opendatacommunities.org/id/district-council/rushmoor,not owned by a public authority,,,,not permissioned,,"Ayling Hill/York Road, Aldershot",http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,SHELAA ID: 548
,,2017-12-11,-0.767669,51.307898,,0.1,2019-12-09,,5,5,,,http://opendatacommunities.org/id/district-council/rushmoor,not owned by a public authority,,,,not permissioned,,"Former Garage Site at Bideford Close and Carmarthen Close, Farnborough",http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,SHELAA ID: 550
yes,,2017-12-11,-0.763054,51.249524,,1.77,2019-12-09,,500,500,Active ground floor and town centre uses will be required as part of any development proposals,,http://opendatacommunities.org/id/district-council/rushmoor,mixed ownership,,,,not permissioned,,"The Galleries Shopping Centre, High Street Multi-Storey Car Park and The Arcade, Aldershot",http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,SHELAA ID: 554
,,2017-12-11,-0.794925,51.298686,,0.64,2019-12-09,,14,14,,,http://opendatacommunities.org/id/district-council/rushmoor,not owned by a public authority,,,,not permissioned,,"Briarwood, Sorrel Close, Broadhurst, Farnborough",http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,SHELAA ID: 557
,2019-12-09,2017-12-11,-0.767287,51.248229,,0.08,2019-12-09,,11,11,,,http://opendatacommunities.org/id/district-council/rushmoor,owned by a public authority,,,,not permissioned,,"30 Grosvenor Road, Aldershot",http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,SHELAA ID: 563
,,2017-12-11,-0.764055,51.267232,,5.19,2019-12-09,,165,165,"The Council resolved to grant outline permission for up to 180 dwellings at the site in November 2019, subject to the completion of an s106 agreement (ref. 17/00914/OUTPP). Note that areas of non-brownfield land have been excluded",,http://opendatacommunities.org/id/district-council/rushmoor,owned by a public authority,,,,pending decision,,"Blandford House and Malta Barracks, Shoe Lane, Aldershot",http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,SHELAA ID: 572
,,2017-12-11,-0.747004,51.232196,,0.28,2019-12-09,,9,9,,,http://opendatacommunities.org/id/district-council/rushmoor,owned by a public authority,,,,not permissioned,,"Meadowcroft, Whitchurch Close, Aldershot",http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,SHELAA ID: 575
,,2017-12-11,-0.764962,51.248897,,0.93,2019-12-09,,25,25,"Proposals would need to be built upon the existing fabric of the building, and active ground floor and town centre uses would be expected to support the viability and vitality of the town centre",,http://opendatacommunities.org/id/district-council/rushmoor,owned by a public authority,,,,not permissioned,,"The Wellington Centre, Victoria Road, Aldershot",http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,SHELAA ID: 577
yes,,2017-12-11,-0.760813,51.246533,,0.21,2019-12-09,,32,32,"Planning permission granted in February 2019 for the demolition of the existing bus station and the redevelopment of the site, with the erection of a mixed-use building comprising three commercial units on the ground floor and upper-floor residential use comprising 32 residential flats (ref. 16/00981/FULPP)",,http://opendatacommunities.org/id/district-council/rushmoor,not owned by a public authority,2019-02-26,full planning permission,,permissioned,,"Aldershot Bus Station, 3 Station Road, Aldershot",http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,SHELAA ID: 580
,,2017-12-11,-0.762055,51.247778,,0.19,2019-12-09,,70,70,"Ground floor uses should continue to reflect the town centre designation, with an active mix of uses",,http://opendatacommunities.org/id/district-council/rushmoor,not owned by a public authority,,,,not permissioned,,"Hippodrome House, Birchett Road, Aldershot",http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,SHELAA ID: 582
,,2017-12-11,-0.752783,51.292337,,0.09,2019-12-09,,7,7,The existing doctors' surgery would need to be provided in an alternative location,,http://opendatacommunities.org/id/district-council/rushmoor,not owned by a public authority,,,,not permissioned,,"208 Farnborough Road, Farnborough",http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,SHELAA ID: 583
,2019-12-09,2017-12-11,-0.752028,51.293713,,0.07,2019-12-09,,6,6,The existing doctors' surgery would need to be provided in an alternative location,,http://opendatacommunities.org/id/district-council/rushmoor,not owned by a public authority,,,,not permissioned,,"2 Salisbury Road, Farnborough",http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,SHELAA ID: 584
,,2017-12-11,-0.760458,51.292229,,1.73,2019-12-09,,175,175,,,http://opendatacommunities.org/id/district-council/rushmoor,not owned by a public authority,,,,not permissioned,,"124 Victoria Road, Farnborough",http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,SHELAA ID: 590
,,2017-12-11,-0.753974,51.287017,,1.09,2019-12-09,,113,113,Permission granted on appeal in October 2019 for the erection of extensions and alterations to the existing building to facilitate conversion and change of use to provide 113 dwellings (ref. 18/00466/FULPP),,http://opendatacommunities.org/id/district-council/rushmoor,not owned by a public authority,2019-10-03,full planning permission,,permissioned,,"117 Farnborough Road, Farnborough",http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,SHELAA ID: 596
,,2017-12-11,-0.745609,51.25396,,0.43,2019-12-09,,15,15,,,http://opendatacommunities.org/id/district-council/rushmoor,owned by a public authority,,,,not permissioned,,"DIO Accommodation Offices, Ordnance Road, Aldershot",http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,SHELAA ID: 597
,,2017-12-11,-0.742753,51.256241,,2.65,2019-12-09,,80,80,,,http://opendatacommunities.org/id/district-council/rushmoor,owned by a public authority,,,,not permissioned,,"Aldershot Distribution Outlet, Ordnance Road, Aldershot",http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,SHELAA ID: 598
,2019-12-09,2017-12-11,-0.753588,51.294369,,0.08,2019-12-09,,6,6,,,http://opendatacommunities.org/id/district-council/rushmoor,not owned by a public authority,,,,not permissioned,,"1 Clockhouse Road, Farnborough",http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,SHELAA ID: 603
,2019-12-09,2017-12-11,-0.76542,51.24838,,0.15,2019-12-09,,6,6,,,http://opendatacommunities.org/id/district-council/rushmoor,not owned by a public authority,,,,not permissioned,,"149-165 Victoria Road, Aldershot",http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,SHELAA ID: 604
,2019-12-09,2017-12-11,-0.763447,51.249807,,0.07,2019-12-09,,5,5,Planning permission granted in December 2017 for the erection of first-floor and second-floor rear extensions and a rear-facing dormer and for the conversion of existing office space to provide 5 additional flats and 1 reconfigured flat (ref. 17/00824/FULPP),,http://opendatacommunities.org/id/district-council/rushmoor,not owned by a public authority,2017-12-20,full planning permission,,permissioned,,"73-77 High Street, Aldershot",http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,SHELAA ID: 605
,,2017-12-11,-0.75496,51.311019,,0.35,2019-12-09,,10,10,,,http://opendatacommunities.org/id/district-council/rushmoor,not owned by a public authority,,,,not permissioned,,"Land at 68-70 Hawley Lane, Farnborough",http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,SHELAA ID: 607
yes,,2018-12-10,-0.766399,51.248741,,0.1,2019-12-09,,14,14,Planning permission granted in November 2018 for a two-storey extension and conversion of upper floors at 182-192 Victoria Road to provide 7 flats; the conversion of the existing warehouse building to provide 4 flats on the upper floors; and an extension to the Old Warehouse building to provide a further 3 flats (14 flats in total) (ref. 18/00481/FULPP),,http://opendatacommunities.org/id/district-council/rushmoor,not owned by a public authority,2018-11-08,full planning permission,,permissioned,,"The Old Warehouse, Star Yard; 182-192 Victoria Road; and 3 Cross Street, Aldershot",http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,SHELAA ID: 610
