Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,point,SiteNameAddress,SiteplanURL,SiteReference
yes,,2017-12-21,-1.563122,54.882501,,0.22,2019-12-31,4,4,11,DC/17/00742/FUL. 10 houses,Gateshead Council,http://opendatacommunities.org/id/metropolitan-district-council/gateshead,not owned by a public authority,2017-09-13,full planning permission,,permissioned,,"Site of The Vigo public house, Hartside, Birtley",https://gis.gateshead.gov.uk/gatesheadmaps/BFR20/app.html,HLA1
,,2019-12-31,-1.576484,54.898467,,0.09,2019-12-31,3,3,13,DC/19/00705/FUL. 12 flats,Gateshead Council,http://opendatacommunities.org/id/metropolitan-district-council/gateshead,not owned by a public authority,,,,pending decision,,"Bling Bling site, Durham Rd",https://gis.gateshead.gov.uk/gatesheadmaps/BFR20/app.html,HLA12
yes,,2019-12-31,-1.58302,54.89818,,11.31,2019-12-31,254,254,466,300 dwellings,Gateshead Council,http://opendatacommunities.org/id/metropolitan-district-council/gateshead,not owned by a public authority,,,,not permissioned,,BAE Systems,https://gis.gateshead.gov.uk/gatesheadmaps/BFR20/app.html,HLA19
yes,,2017-12-21,-1.709765,54.960635,,4.97,2019-12-31,97,97,202,DC/18/01048/FUL. 183 houses,Gateshead Council,http://opendatacommunities.org/id/metropolitan-district-council/gateshead,owned by a public authority,2019-01-18,full planning permission,,permissioned,,"Bleach Green, Elm Rd, Blaydon",https://gis.gateshead.gov.uk/gatesheadmaps/BFR20/app.html,HLB1
yes,,2017-12-21,-1.702211,54.952635,,0.11,2017-12-21,6,6,7,DC/15/00974/FUL. 6 town houses,Gateshead Council,http://opendatacommunities.org/id/metropolitan-district-council/gateshead,mixed ownership,2016-01-22,full planning permission,,permissioned,,"Blaydon Bank / Litchfield Lane, Winlaton",https://gis.gateshead.gov.uk/gatesheadmaps/BFR20/app.html,HLB2
yes,,2017-12-21,-1.721252,54.956257,,0.07,2019-12-31,8,8,10,DC/15/00258/FUL. 8 assisted living flats,Gateshead Council,http://opendatacommunities.org/id/metropolitan-district-council/gateshead,mixed ownership,2017-08-04,full planning permission,,permissioned,,"Ramsay Street, Winlaton",https://gis.gateshead.gov.uk/gatesheadmaps/BFR20/app.html,HLB3
,,2017-12-21,-1.721801,54.954549,,8.65,2017-12-21,173,173,200,,Gateshead Council,http://opendatacommunities.org/id/metropolitan-district-council/gateshead,mixed ownership,,,,not permissioned,,"MetroGreen - Derwent West Bank, Derwenthaugh Rd, Blaydon",https://gis.gateshead.gov.uk/gatesheadmaps/BFR20/app.html,HLB5
yes,,2018-12-21,-1.619159,54.952938,,0.67,2019-12-31,22,22,35,"DC/18/00863/FUL. Current permisson is for privately-owned part of site; the remainder is owned by Gateshead Council. Development likely to require retention of the listed building, Blaydon House.. 25 houses and flats",Gateshead Council,http://opendatacommunities.org/id/metropolitan-district-council/gateshead,mixed ownership,2019-01-15,full planning permission,,permissioned,,Garden Street,https://gis.gateshead.gov.uk/gatesheadmaps/BFR20/app.html,HLB9
,,2019-12-31,-1.704473,54.962345,,2.51,2019-12-31,49,49,122,,Gateshead Council,http://opendatacommunities.org/id/metropolitan-district-council/gateshead,not owned by a public authority,,,,,,"Churchill's site, Blaydon",https://gis.gateshead.gov.uk/gatesheadmaps/BFR20/app.html,HLB17
yes,,2018-12-21,-1.583075,54.919839,,0.07,2019-12-31,7,7,8,DC/18/00834/FUL. change of use of care home to 7 flats,Gateshead Council,http://opendatacommunities.org/id/metropolitan-district-council/gateshead,not owned by a public authority,2018-04-18,full planning permission,,permissioned,,"Clifford House, Lucy Street, Blaydon",https://gis.gateshead.gov.uk/gatesheadmaps/BFR20/app.html,HLB19
